IMAGE_ID,IMAGE_URL
bfa936e8ada33f1f420e53808b76b012f7a60c57224f65cb398cf39c5c1caa3c,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/c51810e1-d9b1-4b1b-879d-765369438b50.png
a130fda99bc49ef79a18d6fd1ccfe73e260651bb80d4cb04301e501230d30a3e,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/6d09e856-4c5d-4b9b-8153-196c12984e89.png
acac2491caa8a5b4deb305b1e58c435f3dd4d981350e1a7fc94d5ef16af7fa2d,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/dddc8949-7bf1-44fa-9b75-ca90e312366e.png
cb2bf8fbb8c1d78561d70e12fb6cf4f7d1b535160c59f92485c4ab2dd69e7562,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/427f159f-4465-40e0-a2d6-2121ab4166ad.png
a2a7a565deea512a7e79271ccf2f3f7c9ea7606b45214439eb5a5aa9bdb0e80b,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/48637b4e-479e-4255-adac-7d45460f3223.png
a8c53189dbe76b75131a94816af846179acb328a89d94d9210abde0a17b1317b,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/3855ef5f-2519-45cd-8684-f5fae404df53.png
7c821fb6ff7daddfc27fae966a26a3305a7d775902282108b2ae9d07f645f0a0,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/4ea5f885-2a72-4ae0-94fd-430dfb9f3a33.png
a0f31559707756b9bfebcd87bcd7f14be411e80f72d8eb14b27802ac0a31e626,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/1f7d6d9a-a32a-490d-bf2e-dfe35485d41f.png
862452b716feb07178c62dbe532b1112c1e779993d4b46ff0be00dc40f695760,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/a446d85e-a304-4106-842a-a5e556b3eb75.png
c93dda5bee17fa44496d03558f7b2c50a0965905c6c7f485e0f09dd74659f11b,https://media.shalion.com/visibility-screenshots/www.amazon.es/2025-05-17/b55074a2-f78f-4541-8919-0e1c46fc0f25.png
